Stock Name,Current Price,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
"Amazon.com, Inc. (AMZN)","2,910.49","2,936.35","2,991.49","2,910.00 x 900","2,914.40 x 800","2,907.38 - 2,993.50","2,671.45 - 3,773.08","3,445,028","3,777,057"
Alphabet Inc. (GOOG),"2,609.51","2,653.64","2,679.99","2,605.00 x 1200","2,616.40 x 800","2,605.93 - 2,684.00","2,010.73 - 3,042.00","1,329,990","1,532,691"
Microsoft Corporation (MSFT),280.07,285.59,287.96,279.63 x 1400,279.80 x 1800,279.43 - 288.92,229.35 - 349.67,"27,209,330","37,671,981"
